,iris_img_path,class_index
0,IKM0746L2001.bmp,0
1,IKM0746L2002.bmp,0
2,IKM0746L2003.bmp,0
3,IKM0746L2004.bmp,0
4,IKM0746L2005.bmp,0
5,IKM0746L2006.bmp,0
6,IKM0746L2007.bmp,0
7,IKM0746L2008.bmp,0
8,IKM0746L2009.bmp,0
9,IKM0746L2501.bmp,0
10,IKM0746L2502.bmp,0
11,IKM0746L2503.bmp,0
12,IKM0746L2504.bmp,0
13,IKM0746L2505.bmp,0
14,IKM0746L2506.bmp,0
15,IKM0746L2507.bmp,0
16,IKM0746L2508.bmp,0
17,IKM0746L2509.bmp,0
18,IKM0746L3001.bmp,0
19,IKM0746L3002.bmp,0
20,IKM0746L3003.bmp,0
21,IKM0746L3004.bmp,0
22,IKM0746L3005.bmp,0
23,IKM0746L3006.bmp,0
24,IKM0746L3007.bmp,0
25,IKM0746L3008.bmp,0
26,IKM0746L3009.bmp,0
27,IKM0746R2001.bmp,1
28,IKM0746R2002.bmp,1
29,IKM0746R2003.bmp,1
30,IKM0746R2004.bmp,1
31,IKM0746R2005.bmp,1
32,IKM0746R2006.bmp,1
33,IKM0746R2007.bmp,1
34,IKM0746R2008.bmp,1
35,IKM0746R2009.bmp,1
36,IKM0746R2501.bmp,1
37,IKM0746R2502.bmp,1
38,IKM0746R2503.bmp,1
39,IKM0746R2504.bmp,1
40,IKM0746R2505.bmp,1
41,IKM0746R2506.bmp,1
42,IKM0746R2507.bmp,1
43,IKM0746R2508.bmp,1
44,IKM0746R2509.bmp,1
45,IKM0746R3001.bmp,1
46,IKM0746R3002.bmp,1
47,IKM0746R3003.bmp,1
48,IKM0746R3004.bmp,1
49,IKM0746R3005.bmp,1
50,IKM0746R3006.bmp,1
51,IKM0746R3007.bmp,1
52,IKM0746R3008.bmp,1
53,IKM0746R3009.bmp,1
54,IKM0749L2001.bmp,2
55,IKM0749L2002.bmp,2
56,IKM0749L2003.bmp,2
57,IKM0749L2004.bmp,2
58,IKM0749L2005.bmp,2
59,IKM0749L2006.bmp,2
60,IKM0749L2007.bmp,2
61,IKM0749L2008.bmp,2
62,IKM0749L2009.bmp,2
63,IKM0749L2501.bmp,2
64,IKM0749L2502.bmp,2
65,IKM0749L2503.bmp,2
66,IKM0749L2504.bmp,2
67,IKM0749L2505.bmp,2
68,IKM0749L2506.bmp,2
69,IKM0749L2507.bmp,2
70,IKM0749L2508.bmp,2
71,IKM0749L2509.bmp,2
72,IKM0749L3001.bmp,2
73,IKM0749L3002.bmp,2
74,IKM0749L3003.bmp,2
75,IKM0749L3004.bmp,2
76,IKM0749L3005.bmp,2
77,IKM0749L3006.bmp,2
78,IKM0749L3007.bmp,2
79,IKM0749L3008.bmp,2
80,IKM0749L3009.bmp,2
81,IKM0749R2001.bmp,3
82,IKM0749R2002.bmp,3
83,IKM0749R2003.bmp,3
84,IKM0749R2004.bmp,3
85,IKM0749R2005.bmp,3
86,IKM0749R2006.bmp,3
87,IKM0749R2007.bmp,3
88,IKM0749R2008.bmp,3
89,IKM0749R2009.bmp,3
90,IKM0749R2501.bmp,3
91,IKM0749R2502.bmp,3
92,IKM0749R2503.bmp,3
93,IKM0749R2504.bmp,3
94,IKM0749R2505.bmp,3
95,IKM0749R2506.bmp,3
96,IKM0749R2507.bmp,3
97,IKM0749R2508.bmp,3
98,IKM0749R2509.bmp,3
99,IKM0749R3001.bmp,3
100,IKM0749R3002.bmp,3
101,IKM0749R3003.bmp,3
102,IKM0749R3004.bmp,3
103,IKM0749R3005.bmp,3
104,IKM0749R3006.bmp,3
105,IKM0749R3007.bmp,3
106,IKM0749R3008.bmp,3
107,IKM0749R3009.bmp,3
108,IKM0750L2001.bmp,4
109,IKM0750L2002.bmp,4
110,IKM0750L2003.bmp,4
111,IKM0750L2004.bmp,4
112,IKM0750L2005.bmp,4
113,IKM0750L2006.bmp,4
114,IKM0750L2007.bmp,4
115,IKM0750L2008.bmp,4
116,IKM0750L2009.bmp,4
117,IKM0750L2501.bmp,4
118,IKM0750L2502.bmp,4
119,IKM0750L2503.bmp,4
120,IKM0750L2504.bmp,4
121,IKM0750L2505.bmp,4
122,IKM0750L2506.bmp,4
123,IKM0750L2507.bmp,4
124,IKM0750L2508.bmp,4
125,IKM0750L2509.bmp,4
126,IKM0750L3001.bmp,4
127,IKM0750L3002.bmp,4
128,IKM0750L3003.bmp,4
129,IKM0750L3004.bmp,4
130,IKM0750L3005.bmp,4
131,IKM0750L3006.bmp,4
132,IKM0750L3007.bmp,4
133,IKM0750L3008.bmp,4
134,IKM0750L3009.bmp,4
135,IKM0750R2001.bmp,5
136,IKM0750R2002.bmp,5
137,IKM0750R2003.bmp,5
138,IKM0750R2004.bmp,5
139,IKM0750R2005.bmp,5
140,IKM0750R2006.bmp,5
141,IKM0750R2007.bmp,5
142,IKM0750R2008.bmp,5
143,IKM0750R2009.bmp,5
144,IKM0750R2501.bmp,5
145,IKM0750R2502.bmp,5
146,IKM0750R2503.bmp,5
147,IKM0750R2504.bmp,5
148,IKM0750R2505.bmp,5
149,IKM0750R2506.bmp,5
150,IKM0750R2507.bmp,5
151,IKM0750R2508.bmp,5
152,IKM0750R2509.bmp,5
153,IKM0750R3001.bmp,5
154,IKM0750R3002.bmp,5
155,IKM0750R3003.bmp,5
156,IKM0750R3004.bmp,5
157,IKM0750R3005.bmp,5
158,IKM0750R3006.bmp,5
159,IKM0750R3007.bmp,5
160,IKM0750R3008.bmp,5
161,IKM0750R3009.bmp,5
162,IKM0751L2001.bmp,6
163,IKM0751L2002.bmp,6
164,IKM0751L2003.bmp,6
165,IKM0751L2004.bmp,6
166,IKM0751L2005.bmp,6
167,IKM0751L2006.bmp,6
168,IKM0751L2007.bmp,6
169,IKM0751L2008.bmp,6
170,IKM0751L2009.bmp,6
171,IKM0751L2501.bmp,6
172,IKM0751L2502.bmp,6
173,IKM0751L2503.bmp,6
174,IKM0751L2504.bmp,6
175,IKM0751L2505.bmp,6
176,IKM0751L2506.bmp,6
177,IKM0751L2507.bmp,6
178,IKM0751L2508.bmp,6
179,IKM0751L2509.bmp,6
180,IKM0751L3001.bmp,6
181,IKM0751L3002.bmp,6
182,IKM0751L3003.bmp,6
183,IKM0751L3004.bmp,6
